Dep,Flight,Carrier,Destination,Departure,Status
Arr,Flight,Carrier,Origin,Arrival,Status
Arr,SA 353,South African Airways,(JNB) Johannesburg,6:10 PM,Scheduled
Arr,HM 5483$^,Air Seychelles,(JNB) Johannesburg,6:10 PM,Scheduled
Arr,LA 8582$^,LATAM Airlines,(JNB) Johannesburg,6:10 PM,Scheduled
Arr,BA 6427,British Airways,(JNB) Johannesburg,6:10 PM,Scheduled
Arr,QR 6336$^,Qatar Airways,(JNB) Johannesburg,6:10 PM,Scheduled
Arr,MN 461,Comair,(HLA) Lanseria,6:15 PM,Scheduled
Arr,JE 149,Mango,(JNB) Johannesburg,6:25 PM,Scheduled
Arr,SA 8676,South African Airways,(PLZ) Port Elizabeth,6:30 PM,Scheduled
Arr,SW 709,Air Namibia,(WDH) Windhoek,6:30 PM,Scheduled
Arr,KQ 3341$^,Kenya Airways,(WDH) Windhoek,6:30 PM,Scheduled
Arr,BA 6429,British Airways,(JNB) Johannesburg,7:10 PM,Scheduled
Arr,QR 6338$^,Qatar Airways,(JNB) Johannesburg,7:10 PM,Scheduled
Arr,JE 715,Mango,(HLA) Lanseria,7:15 PM,Scheduled
Arr,SA 2145$^,South African Airways,(HLA) Lanseria,7:15 PM,Scheduled
Arr,SA 357,South African Airways,(JNB) Johannesburg,7:15 PM,Scheduled
Arr,HM 5493$^,Air Seychelles,(JNB) Johannesburg,7:15 PM,Scheduled
Arr,LA 8595$^,LATAM Airlines,(JNB) Johannesburg,7:15 PM,Scheduled
Arr,SA 8636,South African Airways,(GRJ) George,7:15 PM,Scheduled
Arr,FA* 214,Safair,(JNB) Johannesburg,7:15 PM,Scheduled
Arr,JE 369,Mango,(DUR) Durban,7:20 PM,Scheduled
Arr,SA 2123$^,South African Airways,(DUR) Durban,7:20 PM,Scheduled
Arr,JE 151,Mango,(JNB) Johannesburg,7:20 PM,Scheduled
Arr,SA 2021$^,South African Airways,(JNB) Johannesburg,7:20 PM,Scheduled
Arr,FA* 460,Safair,(DUR) Durban,7:25 PM,Scheduled
Arr,KQ 784,Kenya Airways,(NBO) Nairobi,7:30 PM,Scheduled
Arr,SA 8642,South African Airways,(UTN) Upington,7:35 PM,Scheduled
Arr,FA* 137,Safair,(PLZ) Port Elizabeth,7:45 PM,Scheduled
Arr,SA 8618,South African Airways,(KIM) Kimberley,7:55 PM,Scheduled
Arr,BA 6431,British Airways,(JNB) Johannesburg,8:10 PM,Scheduled
Arr,QR 6340$^,Qatar Airways,(JNB) Johannesburg,8:10 PM,Scheduled
Arr,SA 359,South African Airways,(JNB) Johannesburg,8:10 PM,Scheduled
Arr,MN 131,Comair,(JNB) Johannesburg,8:15 PM,Scheduled
Arr,EY 1269$^,Etihad Airways,(JNB) Johannesburg,8:15 PM,Scheduled
Arr,KQ 4642$^,Kenya Airways,(JNB) Johannesburg,8:15 PM,Scheduled
Arr,FA* 123,Safair,(JNB) Johannesburg,8:15 PM,Scheduled
Arr,SA 1058,South African Airways,(BFN) Bloemfontein,8:20 PM,Scheduled
Arr,MK 843,Air Mauritius,(MRU) Mauritius,8:20 PM,Scheduled
Arr,AF 7968$^,Air France,(MRU) Mauritius,8:20 PM,Scheduled
Arr,SA 363,South African Airways,(JNB) Johannesburg,8:55 PM,Scheduled
Dep,Flight,Carrier,Destination,Departure,Status
Dep,MN 490,Comair,(HLA) Lanseria,9:50 PM,Scheduled
Dep,MK 844,Air Mauritius,(MRU) Mauritius,10:05 PM,Scheduled
Dep,AF 7969$^,Air France,(MRU) Mauritius,10:05 PM,Scheduled
Dep,KQ 785,Kenya Airways,(NBO) Nairobi,11:00 PM,Scheduled
Dep,KL 598,KLM,(AMS) Amsterdam,11:05 PM,Scheduled
